"ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184486","POU3F2","POU class 3 homeobox 2",4178.59044191183,1.04540558608325,0.0742699839118598,14.0757481154687,5.35353389014348e-45,8.24015936370884e-41
"ENSG00000160818","GPATCH4","G-patch domain containing 4 (gene/pseudogene)",758.299206140102,0.951486255546401,0.0979471224863725,9.71428492632627,2.62082090121366e-22,2.01698376557403e-18
"ENSG00000129116","PALLD","palladin, cytoskeletal associated protein",7754.87677837578,0.560299584900978,0.057988868242382,9.66219210485428,4.36423662781198e-22,2.23914433917606e-18
"ENSG00000184156","KCNQ3","potassium voltage-gated channel subfamily Q member 3",832.43826080397,0.903756073392891,0.0942614702720364,9.5877570208132,9.00206547477379e-22,3.46399479469295e-18
"ENSG00000261069",NA,NA,3145.71975693003,-0.740565231309179,0.0779781428334054,-9.49708731703629,2.15843037036838e-21,6.64451205214204e-18
"ENSG00000179546","HTR1D","5-hydroxytryptamine receptor 1D",333.850401766852,-1.13509982622906,0.120522702645099,-9.41814115778309,4.59144142955365e-21,1.17785777472816e-17
"ENSG00000136997","MYC","MYC proto-oncogene, bHLH transcription factor",972.563004505909,0.972391343432206,0.105573667052175,9.21054814693185,3.24463730313431e-20,7.13449390997762e-17
"ENSG00000109971","HSPA8","heat shock protein family A (Hsp70) member 8",31575.6611869004,0.752470113539602,0.0820566806166246,9.1701261601746,4.72465768212634e-20,9.09024138041108e-17
"ENSG00000116133","DHCR24","24-dehydrocholesterol reductase",2879.02921373647,0.619026134444413,0.0699099905325271,8.8546161961844,8.3972248318508e-19,1.43611205124275e-15
"ENSG00000044574","HSPA5","heat shock protein family A (Hsp70) member 5",12230.8865701937,0.635541201708268,0.0721255794348261,8.81159231840284,1.23380613654164e-18,1.89907440536489e-15
"ENSG00000099783","HNRNPM","heterogeneous nuclear ribonucleoprotein M",10784.0139634966,0.687122771358639,0.078626058728261,8.73912265821946,2.34927693038959e-18,3.28727913750515e-15
"ENSG00000105856","HBP1","HMG-box transcription factor 1",1130.30408827156,-0.815032106055298,0.0944801897037692,-8.62648676522273,6.32653188781659e-18,8.11483156810608e-15
"ENSG00000275895","LOC102724594","U2 small nuclear RNA auxiliary factor 1 like 5",2252.48586399292,0.596401319159781,0.0704312041723119,8.46785634533053,2.49950305750282e-17,2.95941162008334e-14
"ENSG00000108797","CNTNAP1","contactin associated protein 1",618.117012393135,-0.846024659292885,0.104387961994415,-8.10461899177754,5.29110637800785e-16,5.81719352644977e-13
"ENSG00000011028","MRC2","mannose receptor C type 2",2744.35370831209,-0.48921033046926,0.0605360268294979,-8.08130886830646,6.40752929439384e-16,6.57497939328733e-13
"ENSG00000122756","CNTFR","ciliary neurotrophic factor receptor",1184.32643239418,-0.719836039160368,0.0902338503574563,-7.97745010668145,1.49387258653705e-15,1.43710542824864e-12
"ENSG00000140451","PIF1","PIF1 5'-to-3' DNA helicase",323.224238705278,-0.967352846193314,0.121385352855345,-7.96927160846261,1.596123148374e-15,1.44514867645721e-12
"ENSG00000189127","ANKRD34B","ankyrin repeat domain 34B",245.138041886861,1.55187941057882,0.19956408254453,7.77634627830653,7.4649195451902e-15,6.38333564664264e-12
"ENSG00000135829","DHX9","DExH-box helicase 9",12569.2877304184,0.389761231182628,0.050204081405069,7.76353675387186,8.25931733548094e-15,6.69091644356435e-12
"ENSG00000101542","CDH20","cadherin 20",243.518641229686,1.42767351352914,0.184766902942162,7.72688988555511,1.10205895682459e-14,8.48144573172207e-12
"ENSG00000181449","SOX2","SRY-box transcription factor 2",16779.9490398993,-0.387153039287108,0.0503031055119133,-7.69640433422978,1.39948489449847e-14,8.97536312338351e-12
"ENSG00000179041","RRS1","ribosome biogenesis regulator 1 homolog",634.269119915654,0.8643958153685,0.112271826479449,7.69913381187157,1.36991656223325e-14,8.97536312338351e-12
"ENSG00000169604","ANTXR1","ANTXR cell adhesion molecule 1",1171.47891198487,0.800722986422944,0.103904591784356,7.7063291686355,1.2948837511324e-14,8.97536312338351e-12
"ENSG00000080824","HSP90AA1","heat shock protein 90 alpha family class A member 1",40994.2860178578,0.378215681096157,0.0490608104229365,7.70912012736213,1.26688123275483e-14,8.97536312338351e-12
