"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION",4.39879702661677e-13,1.6631851557638e-09,0.932595211336209,0.617661385065506,2.21654741004428,218
"GOBP_FOREBRAIN_DEVELOPMENT",3.92448523918655e-11,7.41923934468218e-08,0.851339057116899,0.5143865429753,1.94837303852882,384
"GOBP_SPINAL_CORD_DEVELOPMENT",5.93889488863708e-09,7.48498719131227e-06,0.761460801445585,0.70085638469985,2.24375784265367,88
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL",4.14106725799313e-08,3.91434382561801e-05,0.719512826338911,0.466646678192859,1.77022918553736,394
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",7.20236821190089e-08,5.44643084183945e-05,0.704975715167238,0.45356259340375,1.7346562558567,450
"GOBP_TELENCEPHALON_DEVELOPMENT",1.12029665893519e-07,7.05973611238989e-05,0.704975715167238,0.502457189475566,1.84136633042581,274
"GOBP_HINDBRAIN_DEVELOPMENT",2.95820353651553e-07,0.000157668810435285,0.674962860011025,0.584829921405764,1.99676008271807,145
"GOBP_NEURON_MIGRATION",3.33602349506025e-07,0.000157668810435285,0.674962860011025,0.545757660032823,1.93046013241954,187
"GOBP_CELL_FATE_COMMITMENT",7.47232512169706e-07,0.000313920680945962,0.659444398037935,0.510730222000177,1.83544601653396,228
"GOBP_CELL_DIFFERENTIATION_IN_SPINAL_CORD",1.69002311160943e-06,0.000638997738499527,0.643551836150722,0.762161549904913,2.09039021374942,41
"GOBP_AXON_DEVELOPMENT",2.22262560908507e-06,0.000763977038904603,0.627256739718528,0.416607661532305,1.6071520024711,495
"GOBP_MUSCLE_TISSUE_DEVELOPMENT",5.0529696508608e-06,0.00159210652082539,0.610526878385931,0.437756708261431,1.65998941813573,379
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL",6.41855376502024e-06,0.00186681167581089,0.610526878385931,0.558350615042836,1.88395103177499,131
"GOBP_PATTERN_SPECIFICATION_PROCESS",1.37667283969695e-05,0.00371800000492439,0.593325476396405,0.423388834280329,1.60479937555571,389
"GOBP_VENTRAL_SPINAL_CORD_DEVELOPMENT",1.96553669331504e-05,0.00495446282494945,0.575610261071129,0.739715531811272,1.97065287667395,37
"GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY",2.29770821915764e-05,0.00542977173539689,0.575610261071129,0.484678480721896,1.7223715537983,198
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",3.17649149238471e-05,0.00706489078394504,0.557332238758646,0.403356528595013,1.54425135950503,457
"GOBP_NEUROTRANSMITTER_TRANSPORT",5.35761615532549e-05,0.010849563890638,0.557332238758646,0.487849754153795,1.72962786008632,192
"GOBP_REGULATION_OF_CELL_KILLING",5.45204215609951e-05,0.010849563890638,0.557332238758646,-0.63340182055749,-1.92936533540508,56
"GOBP_CEREBRAL_CORTEX_DEVELOPMENT",6.62433604721565e-05,0.0119151670943438,0.538434096309916,0.528022016655466,1.78440294802858,128
"GOBP_MIDBRAIN_DEVELOPMENT",6.93291922971602e-05,0.0119151670943438,0.538434096309916,0.584859901763739,1.86151044469286,83
"GOBP_RESPONSE_TO_NICOTINE",6.45339190187908e-05,0.0119151670943438,0.538434096309916,0.717501946656786,1.94801544613256,39
"GOBP_CARDIOCYTE_DIFFERENTIATION",7.5935318450528e-05,0.0121033399478942,0.538434096309916,0.523096028370192,1.76499725408168,131
"GOBP_RIBOSOME_BIOGENESIS",7.68262784314895e-05,0.0121033399478942,0.538434096309916,0.426377102124753,1.58215903538131,311
"GOBP_LIMBIC_SYSTEM_DEVELOPMENT",8.40718481280675e-05,0.0127150263108889,0.538434096309916,0.539571574053668,1.80628898888526,115
"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT",8.91542216860721e-05,0.0129650812382707,0.538434096309916,0.519585128810592,1.76079836422649,135
"GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC",9.9776874916942e-05,0.0139724579281836,0.538434096309916,0.538734387994482,1.77469333296217,104
"GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION",0.00010387024999476,0.0140261934010781,0.538434096309916,0.537983431562159,1.77221953993264,104
"GOBP_DIENCEPHALON_DEVELOPMENT",0.000125351306267297,0.0152888157740855,0.518848077743792,0.605329749520695,1.85255507567869,69
"GOBP_FOREBRAIN_GENERATION_OF_NEURONS",0.000123986319266201,0.0152888157740855,0.518848077743792,0.587444269376769,1.86032605937749,81
"GOBP_PALLIUM_DEVELOPMENT",0.000122991388973535,0.0152888157740855,0.518848077743792,0.477188155022139,1.6895519260211,189
"GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION",0.000137732452287056,0.0162739500655424,0.518848077743792,0.602734665888677,1.85167640448705,71
"GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC",0.00014652881268668,0.0167886497202526,0.518848077743792,0.555566648481698,1.79768446686576,93
"GOBP_DORSAL_SPINAL_CORD_DEVELOPMENT",0.000151873361146096,0.0168892111321585,0.518848077743792,0.841201197911641,1.94293357710809,15
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT",0.000158792752031939,0.0171541541552217,0.518848077743792,0.558492184980236,1.80799480282178,95
"GOBP_CELL_FATE_DETERMINATION",0.000169269698325357,0.0177780202602271,0.518848077743792,0.741360734589794,1.92214998319015,31
"GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY",0.000214990366469086,0.021391541463674,0.518848077743792,0.418770802253829,1.5514589165391,294
"GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS",0.00021136024006298,0.021391541463674,0.518848077743792,0.540780023282723,1.77154793238195,100
"GOBP_DICARBOXYLIC_ACID_TRANSPORT",0.000233569507601026,0.0226442643138328,0.518848077743792,0.564749504906257,1.81373988499886,89
"GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",0.000255421179767587,0.0235548166024694,0.49849310876659,0.450739694028796,1.60974359442467,206
"GOBP_MESONEPHROS_DEVELOPMENT",0.000252857125009333,0.0235548166024694,0.49849310876659,0.557248372892728,1.79431435674745,90
"GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE",0.000287443067063293,0.0258767199182455,0.49849310876659,-0.527515761416562,-1.76294292517069,94
"GOBP_POSITIVE_REGULATION_OF_CELL_KILLING",0.00030863931859771,0.0269533426174831,0.49849310876659,-0.668297223465957,-1.8703087446545,36
"GOBP_RESPONSE_TO_NUTRIENT",0.000313659633739555,0.0269533426174831,0.49849310876659,0.497479650787028,1.683641183712,132
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH",0.000334479553809873,0.0281037153990029,0.49849310876659,0.550296740845692,1.76180442431993,86
"GOBP_KIDNEY_MORPHOGENESIS",0.000359103517112153,0.0295167477869794,0.49849310876659,0.549429172091155,1.75902685658839,86
"GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY",0.000415384999117977,0.03301650189923,0.49849310876659,-0.711644796106014,-1.86080645072828,26
"GOBP_RENAL_SYSTEM_DEVELOPMENT",0.000419146281714636,0.03301650189923,0.49849310876659,0.414409536347046,1.53383706462493,297
"GOBP_GLIAL_CELL_DIFFERENTIATION",0.000456151567736934,0.0351981444410888,0.49849310876659,0.434177735225994,1.5619660502289,232
"GOBP_RRNA_PROCESSING",0.000500268719059168,0.0378303205352543,0.477270815362862,0.436721641469727,1.56722477188265,218
"GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID",0.000530504740540766,0.0386952729190364,0.477270815362862,0.615776057416577,1.81943652369846,58
"GOBP_NEUROTRANSMITTER_SECRETION",0.000532175136680744,0.0386952729190364,0.477270815362862,0.48710038509292,1.66720695012069,146
"GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION",0.000617515140037747,0.0435349360151922,0.477270815362862,0.751416694672056,1.87396756024303,23
