"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","geneID"
"GO:0022613","ribonucleoprotein complex biogenesis","220/3634","499/18888",7.29157647118986e-38,4.55650613684655e-34,3.66190645726809e-34,220,"DHX9/RRS1/HSP90AA1/SRSF1/MYBBP1A/UTP4/DCAF13/RRP1B/EBNA1BP2/NIFK/NOP58/NOLC1/DDX21/RPF2/DKC1/NOP2/EIF3J/WDR46/LYAR/WDR77/BOP1/SRSF6/AATF/UTP14A/HTATSF1/RPS14/NOP14/UTP25/PAK1IP1/NOP56/SDAD1/RRP12/NCBP1/RIOX2/GTF3A/RRP36/NOL6/UTP20/GRWD1/RPS3A/URB2/RRP1/NOP16/LSG1/WDR43/DHX37/LTV1/TSR1/NAT10/PRPF19/DDX18/RPS15A/TXNL4A/PES1/NOL8/EIF3L/MRTO4/GTPBP4/SURF6/RPL10A/CUL4A/DDX31/RPLP0/DNTTIP2/IMP3/GAR1/DDX42/PRMT5/DDX1/NOL10/BMS1/RPS4X/GNL2/PNO1/EIF2D/RPL5/BYSL/USP36/NOL9/SRSF9/NOL7/RPSA/EIF5B/RPS8/SETX/RSL1D1/RPS16/U2AF2/RPS27L/UTP15/RPL13A/PPAN/EIF5/GNL3L/RRP15/RPS7/SF1/NUDT16/GLUL/RRP9/EIF3B/CELF2/GEMIN8/PTBP2/NIP7/RPS12/CD2BP2/RPL7A/IMP4/FASTKD2/FTSJ3/RBM5/LUC7L3/SRSF5/NOL11/RPL10/PWP1/EIF6/RPS19/ZNHIT6/DDX28/PUF60/RPS11/SNRPD3/RPP40/HEATR3/EIF3C/SF3A1/RUVBL1/MRPL20/RPS6/DHX29/NOP53/RPS21/MPHOSPH10/EIF3M/RPS5/NOA1/DICER1/PA2G4/EIF3E/EIF3A/ABCE1/STRAP/NOC2L/PDCD11/SNRPD1/DDX23/TAF9/CELF3/NOP10/SF3B4/NUP88/SF3B2/RPS9/SRPK1/DROSHA/FCF1/RPS17/C1QBP/DDX54/DDX27/USP16/RPS28/DDX3X/EIF4A3/RPP30/RPS25/HEATR1/GEMIN5/NUDT21/RPL26/PIH1D2/AGO3/RRN3/RPS23/RIOK3/RRP7A/MAK16/ZCCHC4/SNRPF/METTL15/NOP9/ZNF622/FBLL1/DDX56/DDX49/MRM2/WDR3/DDX46/WDR12/NVL/METTL16/PRMT7/REXO4/DENR/SNRPB2/SHQ1/LSM2/GTF2H5/SF3A3/RAN/C1orf131/PIH1D1/EXOSC4/NGRN/EXOSC3/RPS13/ESF1/UTP3/AGO4/EIF3F/POP5/RPL27/EIF2S3/MCTS1/RPL35A/NPM1/RIOK1/DDX17"
"GO:0042254","ribosome biogenesis","161/3634","319/18888",1.35326304501927e-36,4.22827038416271e-33,3.39811473041418e-33,161,"RRS1/MYBBP1A/UTP4/DCAF13/RRP1B/EBNA1BP2/NIFK/NOP58/NOLC1/DDX21/RPF2/DKC1/NOP2/WDR46/LYAR/BOP1/AATF/UTP14A/RPS14/NOP14/UTP25/PAK1IP1/NOP56/SDAD1/RRP12/RIOX2/GTF3A/RRP36/NOL6/UTP20/GRWD1/RPS3A/URB2/RRP1/NOP16/LSG1/WDR43/DHX37/LTV1/TSR1/NAT10/DDX18/RPS15A/PES1/NOL8/MRTO4/GTPBP4/SURF6/RPL10A/CUL4A/DDX31/RPLP0/DNTTIP2/IMP3/GAR1/NOL10/BMS1/RPS4X/GNL2/PNO1/RPL5/BYSL/USP36/NOL9/NOL7/RPSA/EIF5B/RPS8/RSL1D1/RPS16/RPS27L/UTP15/PPAN/EIF5/GNL3L/RRP15/RPS7/NUDT16/GLUL/RRP9/NIP7/RPS12/RPL7A/IMP4/FASTKD2/FTSJ3/NOL11/RPL10/PWP1/EIF6/RPS19/ZNHIT6/DDX28/RPS11/RPP40/HEATR3/MRPL20/RPS6/DHX29/NOP53/RPS21/MPHOSPH10/RPS5/NOA1/PA2G4/ABCE1/NOC2L/PDCD11/NOP10/NUP88/RPS9/DROSHA/FCF1/RPS17/C1QBP/DDX54/DDX27/USP16/RPS28/DDX3X/EIF4A3/RPP30/RPS25/HEATR1/RPL26/PIH1D2/RRN3/RPS23/RIOK3/RRP7A/MAK16/ZCCHC4/METTL15/NOP9/ZNF622/FBLL1/DDX56/DDX49/MRM2/WDR3/WDR12/NVL/METTL16/REXO4/SHQ1/GTF2H5/RAN/C1orf131/PIH1D1/EXOSC4/NGRN/EXOSC3/RPS13/ESF1/UTP3/POP5/RPL27/RPL35A/NPM1/RIOK1/DDX17"
"GO:0002181","cytoplasmic translation","93/3634","160/18888",1.1326879198499e-27,2.35938893704734e-24,1.89615932126451e-24,93,"DHX9/RPS26/EIF4G1/EIF3J/ZC3H15/IGF2BP1/RPS14/NCBP1/RPS3A/ETF1/PKM/RPS10/RPL18/RPL15/RPS15A/RPS3/EIF3L/RPL10A/RPLP0/RPL3/HNRNPU/RPS4X/EIF4A1/EIF2D/RPL5/SYNCRIP/RPL13/EIF4A2/RPSA/RPS8/RPS16/SLBP/RPL9/RPL13A/EIF5/RPS7/EIF3B/HNRNPD/RPS12/RPL7A/RPLP1/RPS2/RPS18/RPL10/RACK1/RBM4/DRG1/RPS19/RPS11/RPL32/EIF3C/RPL37A/RPS6/DHX29/RPS21/EIF3M/RPS5/RPL18A/NCBP2/EIF3E/EIF3A/RPL22L1/RPS27A/EIF2B1/RWDD1/RPS9/RPS20/RPL8/FAU/RPL17/RPS17/RPS28/UNK/RPS25/RPL26/RPL39/RPS23/RPL24/RPLP2/RPS29/RPL12/RPL34/RPL21/DENR/RPL29/RPL36/RPL31/RPS13/EIF3F/RPL27/EIF2S3/MCTS1/RPL35A"
"GO:0016072","rRNA metabolic process","123/3634","266/18888",7.50080542765082e-24,1.17181332793475e-20,9.41745860403213e-21,123,"RRS1/UTP4/DCAF13/RRP1B/EBNA1BP2/NIFK/NOP58/NOLC1/DDX21/RPF2/DKC1/NOP2/WDR46/NCL/LYAR/BOP1/UTP14A/RPS14/NOP14/UTP25/NOP56/POLR1B/GTF3C4/RRP12/POLR1G/GTF3A/RRP36/NOL6/UTP20/RRP1/WDR43/DHX37/TSR1/NAT10/GTF3C6/DDX18/PES1/NOL8/MRTO4/GTPBP4/RPL10A/IMP3/GAR1/NOL10/BMS1/RPL5/BYSL/USP36/NOL9/NOL7/TCOF1/RPS8/RSL1D1/RPS16/UTP15/PPAN/RRP15/RPS7/NUDT16/RRP9/RPL7A/IMP4/FTSJ3/NOL11/PWP1/EIF6/RPS19/ZNHIT6/RPP40/DIS3L/RPS6/NOP53/RPS21/MPHOSPH10/PA2G4/PDCD11/NOP10/XRN1/DROSHA/FCF1/RPS17/DDX54/DDX27/RPS28/POLR1F/PELO/EIF4A3/RPP30/RPS25/HEATR1/RPL26/PIH1D2/RIOK3/RRP7A/GTF3C3/MAK16/ZCCHC4/METTL15/NOP9/FBLL1/DDX56/DDX49/MRM2/WDR3/WDR12/NVL/METTL16/REXO4/SHQ1/POLR2E/GTF2H5/PIH1D1/EXOSC4/EXOSC3/SLFN13/ESF1/UTP3/POP5/RPL27/GTF3C2/RPL35A/RIOK1/DDX17"
"GO:0006364","rRNA processing","108/3634","224/18888",6.84408415497195e-23,8.55373637688394e-20,6.87434221123604e-20,108,"RRS1/UTP4/DCAF13/RRP1B/EBNA1BP2/NIFK/NOP58/NOLC1/DDX21/RPF2/DKC1/NOP2/WDR46/LYAR/BOP1/UTP14A/RPS14/NOP14/UTP25/NOP56/RRP12/RRP36/NOL6/UTP20/RRP1/WDR43/DHX37/TSR1/NAT10/DDX18/PES1/NOL8/MRTO4/GTPBP4/RPL10A/IMP3/GAR1/NOL10/BMS1/RPL5/BYSL/USP36/NOL9/NOL7/RPS8/RSL1D1/RPS16/UTP15/PPAN/RRP15/RPS7/NUDT16/RRP9/RPL7A/IMP4/FTSJ3/NOL11/PWP1/EIF6/RPS19/ZNHIT6/RPP40/RPS6/NOP53/RPS21/MPHOSPH10/PA2G4/PDCD11/NOP10/DROSHA/FCF1/RPS17/DDX54/DDX27/RPS28/EIF4A3/RPP30/RPS25/HEATR1/RPL26/PIH1D2/RIOK3/RRP7A/MAK16/ZCCHC4/METTL15/NOP9/FBLL1/DDX56/DDX49/MRM2/WDR3/WDR12/NVL/METTL16/REXO4/SHQ1/GTF2H5/PIH1D1/EXOSC4/EXOSC3/ESF1/UTP3/POP5/RPL27/RPL35A/RIOK1/DDX17"
"GO:0034470","ncRNA processing","169/3634","433/18888",3.53430906551481e-22,3.68098289173368e-19,2.9582786932581e-19,169,"RRS1/UTP4/DCAF13/RRP1B/EBNA1BP2/NIFK/NOP58/PUS7/NOLC1/DDX21/RPF2/DKC1/NOP2/WDR46/LYAR/TRMT6/BOP1/UTP14A/TDRD7/LCMT2/RPS14/NOP14/UTP25/NOP56/SRRT/RRP12/DDX5/NCBP1/QTRT2/RRP36/NOL6/UTP20/SMAD2/RRP1/ELP4/WDR43/DHX37/TRMT61A/TSR1/INTS6/NAT10/FAM98A/DDX18/PES1/INTS3/NOL8/MRTO4/GTPBP4/RPL10A/WDR4/IMP3/GAR1/DDX1/NOL10/ZMPSTE24/BMS1/NSUN2/METTL1/TARBP1/RPL5/BYSL/USP36/NOL9/NOL7/RPS8/RSL1D1/RPS16/HNRNPA2B1/UTP15/PPAN/SPOUT1/RRP15/RPS7/SSB/NUDT16/RRP9/USB1/HENMT1/TSN/SRSF3/RPL7A/IMP4/TUT4/FTSJ3/NOL11/KARS1/PWP1/EIF6/RPS19/ZNHIT6/RPP40/HSD17B10/RPS6/NOP53/RPS21/MPHOSPH10/ALKBH8/DICER1/PA2G4/NCBP2/TOE1/PDCD11/POP1/TSEN2/DGCR8/NOP10/STAT3/THUMPD3/SEPSECS/DROSHA/TRMT1L/FCF1/RPS17/ELAC2/TRNT1/DDX54/DDX27/RPS28/EIF4A3/URM1/RPP30/RPS25/HEATR1/TRMT10C/RPL26/PIH1D2/AGO3/RIOK3/RRP7A/PUM1/TRMT13/MAK16/DUS3L/ZCCHC4/METTL15/NOP9/ZC3H7B/FBLL1/DDX56/DDX49/MRM2/WDR3/PRORP/PUS1/WDR12/RTRAF/NVL/PNPT1/METTL16/REXO4/SHQ1/GTF2H5/INTS2/PUM2/PIH1D1/RPP25L/EXOSC4/EXOSC3/ESF1/UTP3/ELAC1/AGO4/PTCD1/DUS1L/POP5/RPL27/RPL35A/RIOK1/DDX17"
"GO:0042274","ribosomal small subunit biogenesis","63/3634","103/18888",8.16086967050119e-21,7.28532493870885e-18,5.8549637891671e-18,63,"RRS1/UTP4/DCAF13/NOP58/WDR46/AATF/RPS14/NOP14/UTP25/NOP56/RRP36/NOL6/UTP20/RPS3A/WDR43/DHX37/LTV1/TSR1/NAT10/RPS15A/SURF6/DNTTIP2/IMP3/NOL10/BMS1/RPS4X/PNO1/BYSL/NOL7/RPSA/RPS8/RPS16/RPS27L/UTP15/RPS7/RRP9/RPS12/IMP4/NOL11/RPS19/RPS11/RPP40/RPS6/RPS21/MPHOSPH10/RPS5/RPS9/FCF1/RPS17/RPS28/RPS25/HEATR1/RPS23/RIOK3/RRP7A/NOP9/WDR3/GTF2H5/C1orf131/RPS13/UTP3/NPM1/RIOK1"
"GO:0140014","mitotic nuclear division","113/3634","277/18888",6.76844050890704e-17,5.28699809252001e-14,4.24897758789414e-14,113,"RRS1/UHRF1/NCAPD2/KIF2C/CDK1/KPNB1/BCCIP/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/INSR/RCC1/FGF8/NUF2/KIF23/FLNA/TOM1L1/PRICKLE1/INCENP/TPX2/PRMT5/KLHDC8B/NEK2/KIF18A/HNRNPU/RANBP1/EGF/UBE2S/INO80/PHIP/CEP97/DLGAP5/AURKA/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/BUB1/NCAPG/SPHK1/NME6/TTK/UBXN2B/KNSTRN/BAZ1B/EML3/CDC16/ZW10/SMC4/KIFC1/CDKN1B/RAD21/NFIA/CDC25C/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/ANLN/DRG1/PSRC1/KIF14/MKI67/KNL1/KIF11/FBXO5/BUB3/CHMP1B/L3MBTL1/SMC1A/HSPA1B/SKA2/PRC1/KIF20B/CDCA2/USP16/CUL7/CHEK2/DAPK3/CLASP1/ANAPC15/NDC80/CHAMP1/RPL24/TUBG2/FBXO43/NCAPG2/SPAG5/KIF4A/KIF25/BIRC5/NCAPD3/LRP5/CHMP4B/CHMP4C/CDT1/RAN/CDCA8/EDN1/NDE1/MAD2L2/SPC25"
"GO:0000070","mitotic sister chromatid segregation","83/3634","188/18888",4.30323919071102e-15,2.98788241141702e-12,2.40125779869968e-12,83,"RRS1/UHRF1/NCAPD2/KIF2C/CDK1/KPNB1/BCCIP/NUDC/KIF22/RACGAP1/SPC24/KNTC1/NUSAP1/UBE2C/NUMA1/NUF2/KIF23/FLNA/PRICKLE1/INCENP/TPX2/NEK2/KIF18A/HNRNPU/INO80/CEP97/DLGAP5/CENPC/MAD2L1/ABRAXAS1/STAG1/PLK1/BUB1/NCAPG/TTK/KNSTRN/BAZ1B/EML3/CDC16/ZW10/SMC4/KIFC1/RAD21/PINX1/KIF18B/AKAP8L/AURKB/CHMP4A/CLASP2/CEP192/CHMP3/KIF3B/DRG1/PSRC1/KIF14/KNL1/KIF11/FBXO5/BUB3/CHMP1B/SMC1A/HSPA1B/SKA2/PRC1/CHEK2/CLASP1/ANAPC15/NDC80/CHAMP1/TUBG2/NCAPG2/SPAG5/KIF4A/KIF25/BIRC5/NCAPD3/CHMP4B/CHMP4C/CDT1/RAN/CDCA8/MAD2L2/SPC25"
"GO:0030900","forebrain development","143/3634","408/18888",2.35935782274881e-14,1.47436270343573e-11,1.18489433392995e-11,143,"POU3F2/SOX2/CXCR4/ATP2B4/NTRK2/IGF2BP1/ATP1B2/NOTCH1/SRGAP2C/CDK6/SOX3/FEZF2/SLC38A2/ZDHHC16/LMX1A/WNT7B/POU3F3/AKNA/CCDC85C/SEMA6B/ATF5/EOMES/SSTR2/NR2E1/GLI3/KIRREL3/GSC/SIX3/RFX4/FGF8/CDON/FLNA/NDST1/KCNC1/RTN4/DNAJB1/SLIT2/LAMB1/WNT2B/EGFR/ARHGAP35/SOX1/TYRO3/ASPM/DIXDC1/SLC7A11/FEZF1/PLCB1/NRP2/DCLK2/UNCX/ATP1A2/PGAP1/LEF1/ROBO1/FXR1/TBR1/TTC21B/EPHB2/NEUROD1/CHRNB2/GART/NEFL/BAX/DAB2IP/RARB/EMX2/NIN/NR2F2/SUN1/RAX/KIF14/SKI/SEMA5A/GDF7/LPAR1/SUN2/FGF13/ZIC1/LHX5/ERBB4/TMEM108/DMRTA2/PCSK1/ADGRG1/SALL1/ARX/LHX2/BTG2/ATAT1/PLXNA4/DLC1/OTX2/STIL/RELN/EZH2/SLIT1/UBA6/HDAC1/SEMA3A/ID2/ZMIZ1/LHX1/TUBB2A/MFSD2A/TOP2B/BTBD3/KAT2A/FGF10/RTN4R/ID4/BMERB1/NDNF/FUT10/PTPRS/NARS1/CRK/ZSWIM6/PLXNA1/PSEN1/KIF26A/MDGA1/DRD2/RTN4RL1/BBS4/SLC4A10/UQCRQ/RAN/LRP8/GLI2/PCDH9/ANXA3/AKIRIN2/ATIC/TRA2B/NDE1/MDK/ELAVL4/TBX19/FEZ1/VAX2/LARGE1/WNT4"
