"ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143320","CRABP2","cellular retinoic acid binding protein 2",5284.36761170608,0.661085341873671,0.056114937031899,11.7809156855664,4.89582981142037e-32,6.79394302930804e-28
"ENSG00000114315","HES1","hes family bHLH transcription factor 1",868.559874826705,1.20065365977348,0.108179680424455,11.0986985269561,1.27283830656001e-28,8.83158859006661e-25
"ENSG00000184486","POU3F2","POU class 3 homeobox 2",4178.59044191183,-0.794700411562078,0.0740631604404379,-10.7300364558596,7.35671467808053e-27,3.40297098625745e-23
"ENSG00000163430","FSTL1","follistatin like 1",13000.6342737355,0.545824336049853,0.0617758057220812,8.83556806212166,9.9590876902462e-19,3.45505649693866e-15
"ENSG00000179546","HTR1D","5-hydroxytryptamine receptor 1D",333.850401766852,1.06589284971566,0.121138266933947,8.79897720756447,1.38068721017652e-18,3.8319592831239e-15
"ENSG00000272449",NA,NA,421.016421044646,1.00870032975246,0.134596390936593,7.49425985892631,6.66735156259216e-14,1.54204729390152e-10
"ENSG00000068366","ACSL4","acyl-CoA synthetase long chain family member 4",3576.72148636498,0.445158982942688,0.0613041190017224,7.26148569120096,3.8286151075003e-13,6.64121148084771e-10
"ENSG00000064300","NGFR","nerve growth factor receptor",1171.45293087484,0.889879863897475,0.122536058843429,7.26218773719924,3.80879051258354e-13,6.64121148084771e-10
"ENSG00000116852","KIF21B","kinesin family member 21B",652.38841689842,0.688687985897557,0.0955636055977483,7.20659273569502,5.73692579573087e-13,8.84570214081748e-10
"ENSG00000137142","IGFBPL1","insulin like growth factor binding protein like 1",2436.5595414247,0.677491537087371,0.0944002563265892,7.17679764283167,7.13631908429061e-13,9.90306999327009e-10
"ENSG00000106571","GLI3","GLI family zinc finger 3",11106.8415723216,-0.394356356848435,0.0578803262693879,-6.81330569929778,9.53811556364718e-12,1.20327663342484e-08
"ENSG00000129116","PALLD","palladin, cytoskeletal associated protein",7754.87677837578,-0.373479184507683,0.057905357283449,-6.44982091517867,1.11982397229808e-10,1.29498310529837e-07
"ENSG00000242125","SNHG3","small nucleolar RNA host gene 3",6703.9541119189,-0.51251569887193,0.0880028044389538,-5.82385643434186,5.75049796535044e-09,6.13843540501293e-06
"ENSG00000164434","FABP7","fatty acid binding protein 7",972.455764939429,0.582384128307387,0.102418381919859,5.6863242456134,1.2980283919286e-08,1.28662428534237e-05
"ENSG00000101542","CDH20","cadherin 20",243.518641229686,-1.03198729461964,0.181964273990586,-5.67137313268996,1.41657485177215e-08,1.31052061453614e-05
