"ENSEMBL","SYMBOL","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272449",NA,NA,421.016421044646,1.29533938992464,0.137141775070855,9.44525757563946,3.54531267554101e-21,5.05419775025127e-17
"ENSG00000116852","KIF21B","kinesin family member 21B",652.38841689842,0.884976863984081,0.0971863771786084,9.10597647196662,8.54938600622585e-20,6.09400234523779e-16
"ENSG00000143320","CRABP2","cellular retinoic acid binding protein 2",5284.36761170608,0.506690614730352,0.0561145576564085,9.02957513864472,1.72339586012919e-19,8.18957712733392e-16
"ENSG00000114315","HES1","hes family bHLH transcription factor 1",868.559874826705,0.936671682794944,0.107808996367721,8.68825157781906,3.68060013529204e-18,1.31176588821808e-14
"ENSG00000138413","IDH1","isocitrate dehydrogenase (NADP(+)) 1",4263.51044533269,0.488906522588585,0.0607476800353931,8.04815134180821,8.40539705648905e-16,2.39654680874616e-12
"ENSG00000184156","KCNQ3","potassium voltage-gated channel subfamily Q member 3",832.43826080397,0.757880367550168,0.0951714278636173,7.96331824122916,1.67485964949826e-15,3.97946652720787e-12
"ENSG00000123560","PLP1","proteolipid protein 1",5003.45395222063,0.55518143266224,0.0730624886411751,7.59872053344432,2.99072850157209e-14,6.09083221691596e-11
"ENSG00000156687","UNC5D","unc-5 netrin receptor D",1228.91083537127,-0.744858215118259,0.0992699242667678,-7.50336237908879,6.2201283452598e-14,1.1084268711253e-10
"ENSG00000116133","DHCR24","24-dehydrocholesterol reductase",2879.02921373647,0.521345376490487,0.0702306512887129,7.42333108014727,1.14210803734287e-13,1.8090991311511e-10
"ENSG00000162761","LMX1A","LIM homeobox transcription factor 1 alpha",146.840521633428,-1.57706783649685,0.216501257069724,-7.28433570244333,3.23259156546455e-13,4.41106087108752e-10
"ENSG00000136720","HS6ST1","heparan sulfate 6-O-sulfotransferase 1",2973.01277306525,0.607118586894797,0.0834254074986055,7.27738233589024,3.40359635114778e-13,4.41106087108752e-10
"ENSG00000164300","SERINC5","serine incorporator 5",4500.64164801149,-0.656425299132284,0.0908145817267386,-7.22819272688465,4.89463794005527e-13,5.5006719367419e-10
"ENSG00000152284","TCF7L1","transcription factor 7 like 1",1565.65037798154,-0.544450057328739,0.0753578304042639,-7.22486375215406,5.01604483569337e-13,5.5006719367419e-10
"ENSG00000231817","LINC01198","long intergenic non-protein coding RNA 1198",196.522567879055,1.39911084470654,0.19407428288698,7.20915117600265,5.63017282239374e-13,5.73312455400323e-10
"ENSG00000185386","MAPK11","mitogen-activated protein kinase 11",286.241899302648,1.02130885539267,0.143620101989894,7.11118319261834,1.15052303146074e-12,1.09345708910028e-09
"ENSG00000080824","HSP90AA1","heat shock protein 90 alpha family class A member 1",40994.2860178578,0.345991469726701,0.0490870798877587,7.04852418432378,1.8082532631331e-12,1.61115365745159e-09
"ENSG00000044574","HSPA5","heat shock protein family A (Hsp70) member 5",12230.8865701937,0.499620324719029,0.0722082807585842,6.9191555244117,4.54343852409752e-12,3.81007409409025e-09
"ENSG00000175274","TP53I11","tumor protein p53 inducible protein 11",4715.71386862525,-0.644923477298695,0.0942224623609472,-6.84468927195007,7.66420442971165e-12,6.07004990833163e-09
"ENSG00000099783","HNRNPM","heterogeneous nuclear ribonucleoprotein M",10784.0139634966,0.536830260929286,0.0787150496368855,6.8199189787175,9.10918700031106e-12,6.83476683560181e-09
"ENSG00000115461","IGFBP5","insulin like growth factor binding protein 5",41379.9083176376,-0.531959723572497,0.0784887056673932,-6.77753211814641,1.22245981974037e-11,8.71369359510934e-09
"ENSG00000148053","NTRK2","neurotrophic receptor tyrosine kinase 2",95.7357305309434,2.20225370537832,0.32907154908919,6.69232484994146,2.19652579476792e-11,1.49112722524816e-08
"ENSG00000104549","SQLE","squalene epoxidase",2721.21660961958,0.382131525685313,0.0580977446985409,6.57739001174877,4.78777767855813e-11,3.10247993570567e-08
"ENSG00000102317","RBM3","RNA binding motif protein 3",3593.46787261165,0.387281876958004,0.0591351552884799,6.54909714988862,5.78859673677004e-11,3.58792326432146e-08
